Land,Jaar,HydroEnergy,SolarEnergy,WindEnergy,Oppervlakte,BNPpp,RenewableEnergy,percentageGroen,BPNperLand,GrijzeEnergie,Populatie
Afghanistan,1990,985.0723404,0,0,652860,0,6312.39236,52.95400159,100,11920.52002,12067570
Afghanistan,1991,881.0246305,0,0,652860,0,6361.650906,55.02669706,0,11561.02628,12789374
Afghanistan,1992,719.6517781,0,0,652860,0,6546.362628,62.24132534,0,10517.71085,13745630
Afghanistan,1993,1599.280576,0,0,652860,0,7849.649451,64.68939202,0,12134.36888,14824371
Afghanistan,1994,1582.951965,0,0,652860,0,8305.307785,66.7765812,0,12437.45582,15869967
Afghanistan,1995,1555.818667,0,0,652860,0,8771.985227,68.57256441,0,12792.26656,16772522
Afghanistan,1996,1560.533333,0,0,652860,0,9304.887428,71.23111174,0,13062.9541,17481800
Afghanistan,1997,1571.4,0,0,652860,0,9861.213025,73.92151031,0,13340.11302,18034130
Afghanistan,1998,1591.741353,0,0,652860,0,10254.28599,75.93942245,0,13503.24464,18511480
Afghanistan,1999,1629.564964,0,0,652860,0,10765.98903,92.00737435,0,11701.22407,19038420
Afghanistan,2000,1665.657758,0,0,652860,0,11301.39287,59.52959404,0,18984.49511,19701940
Afghanistan,2001,1625.151787,0,0,652860,119.8990371,11510.27547,55.15906345,2461666315,20867.42368,20531160
Afghanistan,2002,1855.789532,0,0,652860,192.1535283,11997.10314,43.97347009,4128818042,27282.59361,21487079
Afghanistan,2003,2104.871311,0,0,652860,203.6510409,12509.40174,42.66803451,4583648922,29317.97043,22507368
Afghanistan,2004,2242.615385,0,0,652860,224.9147122,12917.55529,48.30231356,5285461999,26743.1399,23499850
Afghanistan,2005,2292.953642,0,0,652860,257.1757947,13245.71418,40.25238041,6275076016,32906.66054,24399948
Afghanistan,2006,3158.536692,0,0,652860,280.2456441,14324.37156,37.26361859,7057598407,38440.63487,25183615
Afghanistan,2007,3888,0,0,652860,380.4009552,15271.52538,33.75703051,9843842455,45239.54018,25877544
Afghanistan,2008,3707.360406,0,0,652860,384.1316813,15313.38431,21.39224914,10190529882,71583.79752,26528741
Afghanistan,2009,5021.372328,0,0,652860,458.9557816,16854.74977,17.9641158,12486943506,93824.54421,27207291
Afghanistan,2010,7429.237668,0,0,652860,569.9407288,19577.19817,15.17151751,15936800636,129039.1561,27962207
Afghanistan,2011,6829.970149,0,0,652860,622.3796544,19022.55915,10.80752489,17930239400,176012.1706,28809167
Afghanistan,2012,7769.028526,0,0,652860,690.842629,19022.55915,10.80752489,20536542737,176012.1706,29726803
Albania,1990,5393.469018,0,0,28750,639.4638993,20589.53902,24.93815468,2101624963,82562.4,3286542
Albania,1991,4304.514909,0,0,28750,348.711327,19500.58491,32.27110775,1139166676,60427.38,3266790
Albania,1992,4868.415508,0,0,28750,218.4921623,20064.48551,46.02675678,709452572.3,43593.09001,3247039
Albania,1993,5654.424463,0,0,28750,380.5273711,20158.63446,49.25426884,1228071038,40927.68999,3227287
Albania,1994,6392.530812,0,0,28750,619.0649227,20236.85081,48.74625268,1985673026,41514.68,3207536
Albania,1995,6944.419402,0,0,28750,760.5593582,20158.8794,48.80265709,2424498953,41306.93,3187784
Albania,1996,9609.350783,0,0,28750,951.1320914,22221.92078,50.36800549,3013217853,44119.11999,3168033
Albania,1997,7347.785741,0,0,28750,697.5945647,19386.46574,53.92475122,2196223714,35950.96,3148281
Albania,1998,7817.525069,0,0,28750,871.8936539,19308.32507,49.49587264,2727745453,39009.97,3128530
Albania,1999,15229.12047,37.01,0,28750,1104.743553,26233.03047,42.87967499,3434402453,61178.23998,3108778
Albania,2000,14851.63213,45.97,0,28750,1193.466223,25696.53213,41.65636405,3686649387,61686.93,3089027
Albania,2001,14086.57195,56.98,0,28750,1336.859141,24860.50195,39.36466453,4091020249,63154.36,3060173
Albania,2002,15276.80935,58.99,0,28750,1458.328047,26052.74935,36.1915169,4449373455,71985.78999,3051010
Albania,2003,15408.13352,83.99,0,28750,1859.552352,23778.51352,33.75273303,5652325082,70449.15,3039616
Albania,2004,18694.62677,56.98,0,28750,2466.00508,28505.71677,35.9358624,7464446950,79323.86999,3026939
Albania,2005,18351.07036,54.97,0,28750,2781.572144,28035.18036,36.83548781,8376668352,76109.16002,3011487
Albania,2006,12308.67722,95.96,0,28750,3051.76764,22033.77722,31.71018894,9132558097,69484.85,2992547
Albania,2007,12881.71029,263.94,0,28750,3603.01356,22144.93029,32.10095008,10701011524,68985.27998,2970017
Albania,2008,16627.79,271.93,0,28750,4370.539925,25902.97,35.95536327,12881353508,72042.02001,2947314
Albania,2009,19338.37079,278.97,0,28750,4114.134899,28407.65079,38.13653685,12044208086,74489.33001,2927519
Albania,2010,20391.44778,280.93,0,28750,4094.360204,29253.72778,37.18621255,11926957255,78668.21,2913021
Albania,2011,20236.63641,488.89,0,28750,4437.811725,29432.85641,36.15232225,12890866743,81413.45999,2904780
Albania,2012,20739.73,493.92,0,28750,4256.016702,29877.97,38.22183475,12344529628,78169.89999,2900489
Algeria,1990,371.8701751,0,0,2381740,2394.420608,811.7801751,0.177221622,62045098370,458059.3304,25912364
Algeria,1991,768.2052891,0,0,2381740,1721.582107,1618.045289,0.323677703,45715368144,499893.9606,26554277
Algeria,1992,537.2203391,0,0,2381740,1766.065883,1475.020339,0.289757049,48003297249,509054.1694,27180921
Algeria,1993,894.2506052,0,0,2381740,1797.541856,2476.940605,0.476316769,49946456681,520019.6101,27785977
Algeria,1994,420.707017,0,0,2381740,1499.984173,2003.397017,0.403936073,42542573602,495968.8304,28362015
Algeria,1995,511.2801522,0,0,2381740,1444.907991,2093.970152,0.422455733,41764054035,495666.1701,28904300
Algeria,1996,353.8454972,0,0,2381740,1596.006843,1936.535497,0.389502013,46941496308,497182.4105,29411839
Algeria,1997,190.9070452,0,0,2381740,1611.961927,2300.507045,0.472118302,48177861891,487273.4303,29887717
Algeria,1998,540.0538991,0,0,2381740,1588.422413,2781.623899,0.544550647,48187780126,510810.8703,30336880
Algeria,1999,516.910387,0,0,2381740,1580.957629,2758.480387,0.509987023,48640613515,540892.2703,30766551
Algeria,2000,142.2530891,0,0,2381740,1757.011925,2383.823089,0.42734725,54790058957,557818.7502,31183658
Algeria,2001,183.4898276,0,0,2381740,1732.9586,2425.059828,0.427044478,54744716706,567870.5505,31590320
Algeria,2002,153.949974,0,0,2381740,1774.292038,3172.379974,0.514737275,56760288962,616310.5196,31990387
Algeria,2003,732.4319147,0,0,2381740,2094.893393,3193.981915,0.469063978,67863832648,680926.7104,32394886
Algeria,2004,682.7529312,0,0,2381740,2600.006471,3144.302931,0.443615438,85324997370,708790.2407,32817225
Algeria,2005,1570.640509,0,0,2381740,3102.037031,4560.060509,0.584818171,103198000000,779739.8807,33267887
